name,location,howToGo,coupleFriendly,documentsNeeded,facebookPage,reviews,category
"RASS RESORT","Gazipur","Sreepur area","true","NID","fb.com/rassresort","3/5 Basic amenities [20]","resort"
"Sarah Resort","Gazipur","Sreepur","true","NID,Passport","fb.com/sarahresort","4.5/5 Top-tier luxury [20, 23]","resort"
"Kokomo Sunset Resort","Gazipur","Beside Lake","true","NID","fb.com/kokomo","3/5 Sunset views [20, 24]","resort"
"Joleswori Resort","Gazipur","Near Sreepur","false","NID","fb.com/joleswori","2/5 Service issues [20]","resort"
"Shalban Green Resort","Gazipur","Near Sal Forest","true","NID","fb.com/shalban","2/5 Basic stay [20]","resort"
"Saheb Bari Resort","Gazipur","Near City","true","NID","fb.com/sahebbari","3/5 Family friendly [20, 24]","resort"
"BCDM Rajendrapur","Gazipur","Rajendrapur","true","NID","fb.com/bcdm","4.5/5 Corporate retreat [20]","resort"
"Sabrina Dream Resort","Gazipur","Near Pubail","true","NID","fb.com/sabrina","3/5 Business focus [20, 23]","resort"
"Reverie Resort","Gazipur","Near City","true","NID","fb.com/reverie","3/5 Good for picnics [20, 24]","resort"
"Rajendra Eco Resort","Gazipur","Rajendrapur","true","NID","fb.com/rajendraeco","3/5 Forest vibes [20]","resort"
"Chuti Aronnobash","Gazipur","Near Pubail","true","NID","fb.com/chuti","2/5 Nature stay [20]","resort"
"Garden Centre Resort","Gazipur","Kaliganj","true","NID","fb.com/gardencentre","2/5 Basic [20]","resort"
"CCULB Resort","Gazipur","Ulukhola","true","NID","fb.com/cculb","3/5 Convention hall [20, 21]","resort"
"Chuti Resort Purbachal","Gazipur","Purbachal","true","NID","fb.com/chutipurbachal","2/5 New development [20]","resort"
"Sukh Sagar Resort","Gazipur","Kaliganj","true","NID","fb.com/sukhsagar","2/5 Lake view [20]","resort"
"Aristocrat Resort","Gazipur","Purbachal","true","NID","fb.com/aristocrat","2/5 Basic [20]","resort"
"Bhawal Resort & Spa","Gazipur","Noljahni Village","true","NID","fb.com/bhawalresort","Villas with forest views ","resort"
"Pubail Resort Club","Gazipur","Vadun area","true","NID","fb.com/pubailresort","Swimming pool focus [23]","resort"
"Greentech Resort","Gazipur","Dhaka-Mymensingh Hwy","true","NID","fb.com/greentech","3.8/10 Countryside retreat [23, 24]","resort"
"Nirvana Resort","Gazipur","Joydebpur","true","NID","fb.com/nirvanaresort","24-hour service [23]","resort"
"Megher Chaya","Gazipur","Konabari","true","NID","fb.com/megherchaya","Picnic spot specialized [23]","resort"
"PSCC Resort","Gazipur","Pubail College Road","true","NID","fb.com/pscc","Cultural center vibes [23, 24]","resort"
"Green Heaven","Gazipur","Jaydevpur Road","true","NID","fb.com/greenheaven","Non-smoking rooms [23]","resort"
"Insignia Hotels & Resorts","Gazipur","Tongi","true","NID","fb.com/insignia","3.5/5 Sauna and tennis [20, 23]","resort"
"Eden Garden Resort","Savar","Near City","true","NID","fb.com/edengarden","3/5 Good for weekend [21]"
"Resort Atlantis","Savar","Fantasy Kingdom","true","NID","fb.com/atlantis","4.1/5 Theme park access [24]","resort"
"Namir Green Resort","Gazipur","Near City","true","NID","fb.com/namir","4.1/5 Informal stay [24]","resort"
"Nokkhottrobari","Gazipur","Near Dhaka","true","NID","fb.com/nokkhottrobari","3.7/10 Lake and pool [24]","resort"
"Maya by Xpressmall","Uttara, Dhaka","Sector 1","false","NID","fb.com/maya","2/10 Poor service [21]","resort"
"Shaira Garden Resort","Bandar, Narayanganj","Near City","true","NID","fb.com/shaira","8/10 Wonderful stay ","resort"
"Secret Paradise","Sylhet","Near City","false","NID","fb.com/secret","2/10 Service complaints [16, 17]","resort"
"Nirjon Nature's Hideout","Kamalganj","Near Forest","true","NID","fb.com/nirjon","3/5 Quiet stay ","resort"
"Bonsai Eco Village","Kamalganj","Near Town","true","NID","fb.com/bonsai","2/5 Basic ","resort"
"Backyard Retreat","Sreemangal","Near Town","true","NID","fb.com/backyard","2/5 Simple ","resort"
"Himachol Resort","Sreemangal","Near Town","true","NID","fb.com/himachol","2/5 Nature focused ","resort"
"Lawachara Eco Cottage","Sreemangal","Near Forest","true","NID","fb.com/lawachara","3/5 Good access to trails [16, 17]","resort"
